taxi,cab
crate,box
crash,accident
house,home
rabbit,bunny
hear,listen
strange,odd
happy,glad
hat,cap
close,near
trash,garbage
stone,rock
mother,mom
father,dad
friend,buddy
under,below
pail,bucket
couch,sofa
speak,talk
sack,bag
car,vehicle
yell,shout
chair,seat
talk,speak
ill,sick
shut,close
evil,bad
exit,leave
funny,silly
clever,smart
gift,present
hungry,famished
see,look
hard,difficult
untrue,false
lift,raise
road,street
small,tiny
chef,cook
pull,tug
angry,mad
laugh,giggle
pretty,beautiful
cold,freezing
large,big
all,every
begin,start
go,leave
cup,mug
thin,slender
sum,total
error,mistake
fix,repair
right,correct
like,enjoy
purple,periwinkle
loud,noisy
sad,upset
present,gift
throw,toss
beverage,drink
exhausted,tired
suitcase,luggage
beach,seashore
insect,bug
draw,sketch
slip,fall
magic,illusion
strong,mighty
brown,beige
smart,clever
rubbish,trash
allegiance,loyalty
gems,jewels
crack,break
wallet,billfold
jacket,coat
middle,center
strange,weird
thought,idea
lantern,light
boat,ship
nap,sleep
day,afternoon
chop,slice
promise,pledge
vacation,trip
autumn,fall
wander,roam
snug,cozy
harbor,port
round,circular
genuine,real
rant,rave
stare,gaze
carpet,rug
